neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,number_of_reviews_ltm
Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,364,0
Khlong San,13.72077,100.51202,Entire home/apt,3281,360,37,364,0
Vadhana,13.73332,100.57099,Entire home/apt,2220,21,58,346,2
Dusit,13.77073,100.50478,Private room,7500,1,0,365,0
Sathon,13.71425,100.51332,Entire home/apt,703,1,206,355,6
Vadhana,13.74283,100.58651,Entire home/apt,1974,180,0,365,0
Sathon,13.72027,100.52851,Entire home/apt,3757,2,135,144,3
Samphanthawong,13.73989,100.50179,Private room,1732,5,1,365,0
Vadhana,13.74618,100.55168,Private room,9600,28,1,365,0
Sathon,13.71506,100.51319,Entire home/apt,1100,100,117,365,0
Sathon,13.7133,100.51337,Entire home/apt,1100,1,146,167,0
Suanluang,13.72383,100.61609,Entire home/apt,1306,28,2,347,0
Phaya Thai,13.78064,100.54393,Entire home/apt,1385,3,7,348,0
Suanluang,13.7234,100.61828,Entire home/apt,1212,10,10,365,0
Khlong Toei,13.72062,100.58019,Entire home/apt,1732,2,0,347,0
Bang Kho laen,13.7016,100.50262,Entire home/apt,4800,2,18,357,0
Suanluang,13.72158,100.61654,Entire home/apt,999,10,11,358,2
Vadhana,13.73668,100.56693,Entire home/apt,4156,28,4,271,0
Bang Kapi,13.75878,100.64988,Entire home/apt,519,4,1,181,0
Khlong Toei,13.73684,100.55488,Private room,1500,7,0,365,0
Bang Rak,13.72543,100.53838,Entire home/apt,5195,3,95,236,14
Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,365,0
Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,26,336,2
Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,53,127,7
Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,7,146,0
Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,21,124,1
Bang Rak,13.72425,100.53087,Entire home/apt,2147,5,101,221,10
Khlong Toei,13.70486,100.60152,Entire home/apt,850,21,33,294,1
Din Daeng,13.77126,100.57088,Private room,1200,2,0,365,0
Sathon,13.71628,100.51238,Entire home/apt,950,1,109,358,5
Sathon,13.71972,100.54924,Entire home/apt,1693,30,25,176,4
Khlong Toei,13.72393,100.57647,Entire home/apt,3300,5,26,13,9
Suanluang,13.73789,100.64271,Private room,850,1,8,365,1
Suanluang,13.73613,100.64319,Private room,1050,1,0,365,0
Bueng Kum,13.78327,100.67124,Private room,700,1,3,365,0
Bang Phlat,13.80698,100.5121,Private room,1050,1,0,365,0
Bang Phlat,13.80657,100.51192,Private room,1050,1,0,365,0
Bang Phlat,13.80685,100.5125,Private room,1050,1,0,365,0
Sathon,13.71663,100.52864,Entire home/apt,868,4,97,330,11
Wang Thong Lang,13.77933,100.61957,Private room,4873,1,0,365,0
Bang Rak,13.7318,100.52351,Private room,980,1,0,365,0
Chatu Chak,13.82824,100.56594,Entire home/apt,1054,28,20,180,0
Huai Khwang,13.74742,100.56678,Entire home/apt,1020,29,12,318,3
Suanluang,13.72347,100.61812,Entire home/apt,1004,10,6,365,0
Nong Chok,13.77672,100.83851,Entire home/apt,8658,1,1,365,0
Khlong San,13.72174,100.50769,Entire home/apt,1635,3,88,56,8
Nong Chok,13.77624,100.83931,Entire home/apt,3463,2,1,363,0
Khlong San,13.72135,100.508,Entire home/apt,7929,2,256,267,43
Sathon,13.72065,100.54713,Entire home/apt,850,1,278,293,10
Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,37,107,0
Yan na wa,13.67907,100.52887,Entire home/apt,935,28,26,331,0
Din Daeng,13.78588,100.56957,Entire home/apt,1504,2,167,360,5
Khlong San,13.72162,100.5075,Entire home/apt,2251,7,91,314,2
Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,146,0
Bang Rak,13.72479,100.53039,Private room,728,21,11,316,4
Khlong Toei,13.71166,100.59326,Entire home/apt,1143,360,31,89,0
Khlong Toei,13.7142,100.59233,Entire home/apt,866,120,0,365,0
Ratchathewi,13.74978,100.53301,Entire home/apt,1009,3,113,57,3
Bang Rak,13.72386,100.52563,Private room,800,180,0,365,0
Bang Na,13.65979,100.60643,Private room,700,1,4,365,0
Sathon,13.72074,100.54712,Entire home/apt,800,1,192,346,0
Sathon,13.72062,100.54707,Entire home/apt,609,1,156,312,7
Parthum Wan,13.74381,100.54792,Entire home/apt,2250,7,92,70,8
Suanluang,13.73693,100.61644,Private room,1004,2,0,365,0
Bang Na,13.65441,100.64548,Private room,797,1,0,362,0
Chatu Chak,13.79616,100.56478,Private room,1636,2,0,179,0
Huai Khwang,13.79216,100.57502,Entire home/apt,540,28,25,10,3
Phra Khanong,13.69784,100.60635,Entire home/apt,999,5,103,336,13
Ratchathewi,13.75409,100.53552,Entire home/apt,3587,7,0,270,0
Khlong Toei,13.73606,100.55934,Entire home/apt,1845,3,129,336,0
Phra Khanong,13.70396,100.60281,Entire home/apt,1264,180,27,16,1
Vadhana,13.73958,100.5865,Entire home/apt,4720,2,252,347,0
Vadhana,13.73862,100.585,Private room,1049,3,1,365,0
Vadhana,13.7214,100.58484,Private room,1758,1,0,365,0
Saphan Sung,13.76276,100.69127,Entire home/apt,1000,1,0,365,0
Suanluang,13.73786,100.64065,Entire home/apt,1351,30,11,89,0
Khlong Toei,13.72468,100.56838,Private room,3000,1,0,365,0
Bang Rak,13.72004,100.5186,Entire home/apt,5500,2,25,338,7
Bang Rak,13.7319,100.52255,Private room,1800,30,6,320,0
Bang Rak,13.732,100.52294,Private room,2100,30,3,357,1
Bang Rak,13.7332,100.52094,Private room,3900,30,1,330,1
Bang Kho laen,13.69945,100.52725,Entire home/apt,950,2,7,86,1
Min Buri,13.78318,100.74785,Private room,1620,30,0,365,0
Min Buri,13.78115,100.7482,Private room,1620,1,0,365,0
Phra Khanong,13.68469,100.60719,Entire home/apt,1290,30,2,87,0
Phaya Thai,13.78519,100.5496,Entire home/apt,2000,1,8,360,1
Suanluang,13.72219,100.6145,Entire home/apt,1004,10,2,365,0
Suanluang,13.71916,100.63024,Entire home/apt,1004,10,9,365,0
Bang Kapi,13.7703,100.63148,Private room,1905,1,0,365,0
Yan na wa,13.71165,100.54957,Entire home/apt,1500,60,1,363,0
Huai Khwang,13.77302,100.57755,Private room,1212,1,0,365,0
Sathon,13.72062,100.54707,Entire home/apt,600,1,146,358,3
Bang Rak,13.73155,100.52129,Private room,3700,30,6,330,0
Bang Rak,13.7334,100.52328,Private room,900,30,4,301,0
Bang Rak,13.73391,100.52297,Private room,1500,30,6,302,1
Bang Rak,13.73205,100.5234,Private room,1500,30,4,321,0
Phaya Thai,13.78756,100.55304,Entire home/apt,3000,1,0,365,0
Huai Khwang,13.79654,100.57543,Entire home/apt,2500,2,0,359,0
Phra Khanong,13.70488,100.60475,Entire home/apt,900,7,10,271,0
Khlong Toei,13.72635,100.57211,Entire home/apt,2123,3,210,294,18
Vadhana,13.70714,100.60281,Entire home/apt,2236,1,0,365,0
Phra Khanong,13.69011,100.60844,Entire home/apt,2275,7,12,98,0
Sathon,13.72065,100.54713,Entire home/apt,736,1,120,321,1
Bang Rak,13.73386,100.52322,Private room,2100,30,0,217,0
Bang Rak,13.73227,100.52112,Private room,2743,30,3,341,0
Bang Rak,13.7319,100.52202,Private room,1900,30,10,323,1
Suanluang,13.7141,100.64207,Entire home/apt,1004,3,0,90,0
Khlong Toei,13.73833,100.55635,Private room,1347,2,40,330,1
Chatu Chak,13.81674,100.56603,Private room,1200,30,0,363,0
Din Daeng,13.78653,100.56912,Private room,2000,1,23,90,0
Khlong Toei,13.73892,100.55673,Entire home/apt,1850,2,6,330,0
Vadhana,13.70992,100.59918,Shared room,712,2,1,355,0
Chatu Chak,13.84279,100.56287,Entire home/apt,2236,2,215,325,29
Vadhana,13.73767,100.58381,Entire home/apt,1712,2,41,333,1
Bang Rak,13.73217,100.52297,Private room,2743,30,1,341,0
Bang Rak,13.73352,100.52143,Private room,2686,30,2,341,0
Bang Na,13.65487,100.64337,Private room,1732,15,1,365,0
Din Daeng,13.7863,100.57026,Private room,943,1,5,357,2
Bang Rak,13.73418,100.5226,Private room,1957,30,3,341,1
Bang Sue,13.83165,100.52765,Private room,418,2,0,365,0
Khlong San,13.72075,100.50354,Entire home/apt,2226,365,39,1,0
Suanluang,13.72376,100.61804,Entire home/apt,1974,10,6,365,0
Bang Rak,13.73232,100.52657,Entire home/apt,2701,1,239,346,0
Bang Na,13.66352,100.64885,Entire home/apt,950,3,23,260,4
Saphan Sung,13.73667,100.69141,Entire home/apt,10355,1,0,365,0
Bang Na,13.66375,100.64965,Entire home/apt,950,30,41,245,2
Vadhana,13.70811,100.60112,Shared room,400,1,4,365,0
Khan Na Yao,13.81891,100.66408,Entire home/apt,1300,360,37,83,1
Huai Khwang,13.75806,100.56938,Entire home/apt,4161,3,195,145,4
Khlong San,13.72219,100.50517,Entire home/apt,2009,180,35,179,0
Yan na wa,13.67892,100.5265,Entire home/apt,1800,3,0,90,0
Parthum Wan,13.73982,100.5406,Entire home/apt,1004,23,2,76,0
Chatu Chak,13.80556,100.56883,Entire home/apt,590,6,24,325,3
Bang Rak,13.73167,100.52116,Private room,2650,30,4,341,0
Bang Rak,13.7344,100.52201,Private room,1900,30,18,337,3
Sathon,13.72053,100.53854,Entire home/apt,1177,180,87,365,0
Sathon,13.72052,100.54682,Entire home/apt,1400,1,300,327,4
Vadhana,13.73616,100.57224,Entire home/apt,9999,2,46,356,0
Phra Khanong,13.70309,100.60269,Entire home/apt,1500,3,21,207,5
Pra Wet,13.72352,100.6536,Entire home/apt,10000,1,0,365,0
Bang Rak,13.73337,100.52274,Private room,1500,30,10,189,1
Din Daeng,13.78542,100.56921,Shared room,456,1,4,353,0
Phra Khanong,13.70482,100.60336,Entire home/apt,1900,3,16,230,3
Vadhana,13.7361,100.5704,Entire home/apt,9999,2,25,358,2
Phaya Thai,13.79203,100.54336,Entire home/apt,1457,30,153,76,0
Bang Rak,13.72153,100.5286,Entire home/apt,1212,5,25,178,0
Khlong San,13.72185,100.50663,Entire home/apt,1039,84,25,249,0
Bang Rak,13.73208,100.52062,Private room,1500,30,7,234,0
Bang Rak,13.73397,100.52272,Private room,2100,30,7,336,0
Bang Rak,13.73229,100.52286,Private room,1700,30,5,336,0
Khlong Toei,13.72752,100.55957,Entire home/apt,2000,2,65,177,1
Bang Rak,13.73244,100.52204,Private room,1800,30,21,336,0
Sathon,13.71711,100.51524,Shared room,490,2,27,365,0
Bang Rak,13.73232,100.52336,Private room,2700,30,8,327,0
Bang Rak,13.73241,100.52168,Private room,2100,30,23,357,0
Bang Rak,13.73195,100.52318,Private room,3657,30,33,330,1
Sathon,13.71637,100.51592,Entire home/apt,888,100,228,365,0
Yan na wa,13.70249,100.53757,Private room,7343,1,1,349,0
Bang Rak,13.73288,100.52328,Private room,2450,30,15,320,2
Lat Krabang,13.71944,100.73128,Entire home/apt,1316,1,63,365,0
Sathon,13.72066,100.5471,Entire home/apt,800,1,193,355,0
Bangkok Yai,13.74266,100.47679,Entire home/apt,1100,1,8,354,0
Bangkok Yai,13.74286,100.47575,Entire home/apt,1600,1,4,365,0
Bangkok Yai,13.74162,100.47567,Entire home/apt,1400,1,2,365,2
Bangkok Yai,13.74308,100.47737,Entire home/apt,2700,1,1,365,0
Sathon,13.72067,100.54706,Entire home/apt,750,1,181,290,8
Vadhana,13.73757,100.56994,Entire home/apt,9999,2,24,359,2
Khlong Toei,13.71747,100.5804,Private room,1300,1,1,365,0
Suanluang,13.73749,100.63279,Private room,8000,1,14,365,0
Suanluang,13.73618,100.63117,Private room,950,1,13,364,0
Bang Na,13.68401,100.61513,Entire home/apt,1905,2,60,326,10
Suanluang,13.72351,100.61641,Entire home/apt,1835,10,0,365,0
Suanluang,13.7447,100.60093,Private room,1801,30,3,312,0
Khlong Toei,13.70597,100.59998,Private room,1050,1,1,358,0
Sathon,13.71261,100.51296,Entire home/apt,800,1,251,257,30
Parthum Wan,13.73954,100.53954,Entire home/apt,1351,1,53,241,0
Suanluang,13.72343,100.61643,Entire home/apt,1659,10,5,343,0
Bang Sue,13.80733,100.53038,Entire home/apt,1843,2,4,173,1
Vadhana,13.71805,100.59001,Private room,4429,3,0,365,0
Sathon,13.71199,100.5116,Entire home/apt,750,100,115,365,0
Khlong Sam Wa,13.84645,100.69468,Entire home/apt,2000,1,0,365,0
Suanluang,13.73584,100.63094,Private room,950,1,3,364,0
Suanluang,13.73601,100.63298,Private room,800,1,9,364,0
Suanluang,13.736,100.63322,Private room,742,1,9,364,0
Vadhana,13.74322,100.5564,Entire home/apt,1212,24,61,12,7
Din Daeng,13.75941,100.55571,Private room,1500,3,0,365,0
Vadhana,13.708,100.60072,Private room,1500,31,25,332,2
Phra Khanong,13.69952,100.6077,Private room,890,1,10,332,0
Khlong San,13.72156,100.50605,Private room,727,90,1,302,0
Phaya Thai,13.78647,100.54773,Private room,1857,365,17,365,0
Chatu Chak,13.81892,100.56602,Entire home/apt,1039,7,75,331,5
Ratchathewi,13.75285,100.53742,Shared room,450,1,25,365,0
Khlong Toei,13.72582,100.5704,Entire home/apt,990,30,27,340,0
Sathon,13.72066,100.54713,Entire home/apt,650,1,106,315,1
Bang Kapi,13.74914,100.60628,Entire home/apt,1039,60,3,337,0
Sathon,13.71304,100.51213,Entire home/apt,1300,100,12,365,0
Parthum Wan,13.7467,100.54295,Entire home/apt,8800,180,2,362,0
Sathon,13.71759,100.51373,Entire home/apt,1700,1,218,333,11
Saphan Sung,13.77458,100.67411,Private room,390,1,16,354,0
Parthum Wan,13.74444,100.54409,Entire home/apt,3436,1,19,329,6
Bang Kho laen,13.70074,100.52732,Entire home/apt,890,200,25,180,0
Bang Kho laen,13.70968,100.51419,Private room,2087,1,0,365,0
Phra Nakhon,13.74771,100.49931,Private room,3545,1,61,360,6
Vadhana,13.746885,100.558998,Entire home/apt,1380,1,238,89,2
