neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,number_of_reviews_ltm
Ratchathewi,13.75445,100.53625,Shared room,455,1,0,364,0
Ratchathewi,13.75396,100.53291,Private room,3900,1,0,175,0
Phra Khanong,13.7038,100.60068,Entire home/apt,1760,1,35,175,0
Huai Khwang,13.7734,100.57902,Private room,1500,2,0,365,0
Sathon,13.7131,100.51068,Private room,10313,6,2,294,2
Vadhana,13.73902,100.59073,Entire home/apt,1400,30,1,302,0
Chatu Chak,13.79772,100.55471,Entire home/apt,780,28,55,167,7
Bang Kho laen,13.69517,100.52707,Private room,1094,1,24,363,5
Phra Khanong,13.69933,100.60506,Private room,650,15,16,302,0
Bang Kho laen,13.70244,100.50516,Entire home/apt,1100,180,4,173,0
Khlong Toei,13.73492,100.55368,Entire home/apt,2000,2,4,327,1
Khlong Toei,13.70352,100.59382,Entire home/apt,1200,2,3,354,1
Ratchathewi,13.7501,100.54565,Hotel room,1183,1,122,94,18
Sathon,13.70831,100.5245,Hotel room,3999,1,0,365,0
Ratchathewi,13.75619,100.5377,Entire home/apt,2446,120,14,74,0
Vadhana,13.73939,100.58893,Entire home/apt,1400,30,0,284,0
Khlong Toei,13.73871,100.55446,Entire home/apt,5200,2,12,145,5
Khlong Toei,13.71938,100.58356,Entire home/apt,1400,30,0,271,0
Bang Rak,13.72215,100.51947,Shared room,600,1,0,359,0
Vadhana,13.74138,100.59026,Entire home/apt,1280,30,0,302,0
Khlong Toei,13.73395,100.5588,Entire home/apt,2057,1,101,361,20
Samphanthawong,13.73788,100.51405,Hotel room,2579,1,56,338,0
Suanluang,13.74262,100.6247,Hotel room,2043,1,0,364,0
Ratchathewi,13.75819,100.54007,Private room,1250,1,18,145,3
Vadhana,13.74303,100.56312,Entire home/apt,1100,30,33,321,0
Ratchathewi,13.75242,100.5399,Entire home/apt,1629,2,47,126,11
Vadhana,13.73043,100.59781,Entire home/apt,3394,2,54,335,6
Khlong Toei,13.71497,100.59156,Entire home/apt,1489,28,99,124,10
Saphan Sung,13.74382,100.67323,Entire home/apt,6403,2,3,358,0
Sathon,13.70731,100.53488,Private room,850,1,1,346,0
Khlong Toei,13.72651,100.56684,Entire home/apt,1646,3,9,102,5
Thon buri,13.72699,100.48786,Entire home/apt,1200,1,0,180,0
Ratchathewi,13.75792,100.53486,Private room,2300,1,4,174,0
Chatu Chak,13.84213,100.58695,Private room,900,180,0,180,0
Bang Rak,13.722543,100.521965,Private room,1200,1,8,80,4
Bang Khen,13.86485,100.61768,Private room,600,1,0,362,0
Vadhana,13.74316,100.5671,Hotel room,4000,1,24,168,8
Phra Khanong,13.70365,100.60147,Entire home/apt,2000,7,0,73,0
Khlong Toei,13.73074,100.5638,Private room,649,7,21,343,3
Bang Rak,13.7251,100.52528,Private room,1699,1,0,315,0
Bang Rak,13.72496,100.52441,Private room,1899,1,1,315,0
Bang Rak,13.7264,100.52559,Private room,2499,1,0,315,0
Phaya Thai,13.78376,100.54193,Entire home/apt,2291,30,8,346,1
Phra Khanong,13.69163,100.61507,Entire home/apt,1039,10,77,259,4
Phaya Thai,13.76699,100.54495,Entire home/apt,4225,1,2,360,0
Phra Khanong,13.70017,100.60417,Shared room,539,2,0,364,0
Ratchathewi,13.75722,100.53345,Private room,2300,1,6,175,3
Phra Khanong,13.68543,100.61486,Entire home/apt,660,4,17,234,11
Phaya Thai,13.77617,100.54657,Private room,801,1,29,291,5
Phra Nakhon,13.75325,100.49872,Private room,959,1,9,330,0
Huai Khwang,13.74561,100.58479,Entire home/apt,2147,2,0,179,0
Khlong Toei,13.70431,100.59708,Entire home/apt,800,7,48,199,12
Phra Khanong,13.7045,100.62091,Private room,5472,1,0,365,0
Ratchathewi,13.75916,100.54018,Private room,520,4,32,247,13
Bang Rak,13.72186,100.51941,Private room,2000,1,0,359,0
Ratchathewi,13.75459,100.5363,Private room,1155,1,0,341,0
Ratchathewi,13.75926,100.54193,Entire home/apt,957,4,52,167,14
Huai Khwang,13.78841,100.57442,Private room,750,1,9,331,1
Ratchathewi,13.75476,100.56344,Private room,1150,45,25,338,0
Phra Khanong,13.69737,100.59633,Private room,1000,3,0,362,0
Phra Khanong,13.70332,100.60265,Private room,1000,10,0,83,0
Huai Khwang,13.78109,100.57561,Entire home/apt,1338,1,33,365,0
Huai Khwang,13.78279,100.57401,Entire home/apt,1239,1,29,365,0
Ratchathewi,13.756,100.55619,Private room,5022,1,0,365,0
Bang Khae,13.70224,100.42099,Private room,5056,1,0,365,0
Bangkok Noi,13.76111,100.47666,Private room,5749,1,0,365,0
Vadhana,13.74419,100.55703,Entire home/apt,6571,1,92,326,25
Parthum Wan,13.74509,100.54331,Private room,5056,1,0,365,0
Huai Khwang,13.75629,100.57079,Entire home/apt,5000,10,0,180,0
Don Mueang,13.91507,100.58584,Shared room,350,1,0,180,0
Khlong San,13.71957,100.49476,Entire home/apt,1686,30,47,309,4
Khlong Toei,13.704,100.59196,Entire home/apt,1000,3,3,58,0
Lak Si,13.90207,100.5823,Private room,1770,1,4,181,0
Ratchathewi,13.75046,100.52954,Private room,1171,1,26,89,7
Pra Wet,13.71462,100.69969,Entire home/apt,1500,2,0,178,0
Suanluang,13.74589,100.60567,Private room,800,7,1,83,0
Vadhana,13.74791,100.55818,Entire home/apt,1224,30,74,83,8
Bangkok Noi,13.76035,100.47207,Private room,5783,1,0,365,0
Bangkok Noi,13.76523,100.47382,Private room,5818,1,0,365,0
Phra Nakhon,13.76619,100.49835,Private room,4952,1,0,365,0
Thon buri,13.713,100.47818,Private room,5991,1,0,365,0
Taling Chan,13.75505,100.4539,Private room,5783,1,0,365,0
Bang Rak,13.72451,100.52348,Entire home/apt,3082,1,16,337,9
Suanluang,13.74514,100.60214,Entire home/apt,700,30,8,210,0
Wang Thong Lang,13.76215,100.59883,Entire home/apt,2000,1,0,179,0
Don Mueang,13.91525,100.5853,Private room,1200,1,0,180,0
Bang Na,13.67666,100.62787,Private room,999,1,0,365,0
Phra Khanong,13.68885,100.62957,Private room,5091,1,0,365,0
Huai Khwang,13.75552,100.5749,Entire home/apt,5000,30,0,90,0
Phra Khanong,13.68929,100.60766,Entire home/apt,2000,28,1,365,0
Bang Na,13.6738,100.61073,Entire home/apt,1250,5,2,22,0
Lak Si,13.89461,100.55497,Private room,1400,1,0,179,0
Bang Kapi,13.78375,100.64478,Entire home/apt,450,2,0,16,0
Khlong Toei,13.71917,100.58422,Entire home/apt,1300,30,11,286,0
Vadhana,13.73915,100.59017,Entire home/apt,1280,30,5,271,0
Phasi Charoen,13.71044,100.44861,Entire home/apt,943,2,5,344,2
Bang Kapi,13.76318,100.6477,Private room,1800,10,0,181,0
Don Mueang,13.91174,100.58176,Private room,550,1,94,174,0
Bang Phlat,13.80122,100.51107,Entire home/apt,15000,1,6,90,0
Bang Phlat,13.80111,100.50992,Entire home/apt,15000,1,4,90,0
Ratchathewi,13.75249,100.5361,Shared room,425,1,0,364,0
Ratchathewi,13.75977,100.54198,Entire home/apt,536,7,16,114,10
Taling Chan,13.75242,100.45299,Entire home/apt,4500,1,0,364,0
Vadhana,13.74359,100.55636,Entire home/apt,1430,30,48,177,6
Chatu Chak,13.795694,100.558144,Entire home/apt,661,30,25,350,2
Bang Rak,13.72368,100.52887,Private room,2000,1,0,91,0
Bang Rak,13.72719,100.52882,Private room,2000,5,3,345,0
Phra Khanong,13.70529,100.60312,Entire home/apt,1599,3,4,90,0
Chatu Chak,13.795958,100.558197,Entire home/apt,685,30,11,347,0
Khlong Toei,13.71479,100.59117,Entire home/apt,2726,1,71,162,9
Huai Khwang,13.78265,100.57567,Entire home/apt,791,1,31,358,0
Saphan Sung,13.74437,100.66503,Private room,4500,19,0,180,0
Bang Kapi,13.75449,100.63146,Entire home/apt,1000,1,8,348,0
Vadhana,13.7285,100.57461,Entire home/apt,2000,30,1,357,1
Huai Khwang,13.78117,100.57416,Entire home/apt,1338,1,52,365,0
Bang Rak,13.72814,100.51473,Entire home/apt,3256,28,33,114,7
Lak Si,13.89121,100.58306,Private room,800,3,0,364,0
Phra Khanong,13.70363,100.60206,Private room,600,5,31,271,0
Ratchathewi,13.75107,100.55644,Private room,1485,28,3,153,2
Vadhana,13.71415,100.59517,Private room,750,1,2,150,0
Khlong Toei,13.7148,100.59118,Entire home/apt,2726,1,27,162,2
Sathon,13.70786,100.52562,Entire home/apt,1421,28,7,12,1
Khan Na Yao,13.85126,100.67198,Private room,1500,2,0,173,0
Khlong Toei,13.73598,100.55756,Entire home/apt,1621,5,54,166,22
Khlong Toei,13.72652,100.56558,Hotel room,1800,1,13,360,4
Parthum Wan,13.74444,100.54896,Entire home/apt,3000,28,2,169,0
Saphan Sung,13.7752,100.67887,Private room,550,1,0,270,0
Vadhana,13.74425,100.55442,Hotel room,5800,1,0,365,0
Khlong Toei,13.71553,100.59025,Private room,850,3,0,87,0
Ratchathewi,13.74955,100.55685,Entire home/apt,1800,60,15,145,0
Ratchathewi,13.7511,100.55529,Entire home/apt,1408,2,56,303,2
Bangkok Noi,13.77432,100.48019,Entire home/apt,6000,25,0,179,0
Don Mueang,13.9266,100.58586,Private room,1498,1,85,362,0
Pom Prap Sattru Phai,13.75111,100.51035,Private room,1400,1,73,150,20
Suanluang,13.71042,100.63325,Private room,1200,28,0,365,0
Ratchathewi,13.75131,100.55644,Entire home/apt,1497,30,0,365,0
Phra Khanong,13.68707,100.6355,Private room,1000,28,1,364,0
Khlong San,13.71918,100.49314,Entire home/apt,1300,29,23,343,1
Chatu Chak,13.80501,100.55713,Entire home/apt,3500,30,0,6,0
Huai Khwang,13.74885,100.57852,Entire home/apt,950,180,0,302,0
Bang Kho laen,13.70617,100.50592,Entire home/apt,1200,30,1,57,0
Khlong Toei,13.72157,100.58041,Entire home/apt,1900,2,1,180,0
Huai Khwang,13.78108,100.57482,Entire home/apt,1239,1,48,365,0
Bang Rak,13.72679,100.52113,Private room,950,1,11,86,1
Suanluang,13.73757,100.64147,Entire home/apt,1800,2,0,179,0
Din Daeng,13.79769,100.57174,Private room,950,1,59,2,0
Ratchathewi,13.75937,100.54029,Private room,1600,1,25,141,1
Bang Na,13.66017,100.63029,Entire home/apt,866,20,0,363,0
Huai Khwang,13.76703,100.58006,Entire home/apt,4000,10,0,363,0
Parthum Wan,13.74078,100.52561,Private room,2657,1,7,339,0
Parthum Wan,13.7428,100.52348,Private room,2514,1,13,336,3
Parthum Wan,13.74307,100.52509,Private room,2486,1,3,337,1
Phra Nakhon,13.76539,100.50377,Private room,2880,1,0,362,0
Vadhana,13.73935,100.58906,Entire home/apt,2100,21,1,115,1
Bang Rak,13.72677,100.52113,Private room,497,1,25,76,6
Parthum Wan,13.73908,100.54376,Entire home/apt,3950,2,25,328,11
Vadhana,13.74085,100.59063,Entire home/apt,2175,21,2,174,2
Khlong San,13.72101,100.49314,Entire home/apt,1280,30,38,341,2
Vadhana,13.74128,100.5892,Entire home/apt,2250,21,0,133,0
Vadhana,13.72746,100.5846,Private room,4230,1,0,362,0
Chatu Chak,13.83905,100.58243,Private room,600,180,0,358,0
Khlong San,13.72072,100.49456,Entire home/apt,1350,30,38,36,3
Vadhana,13.7282,100.59065,Entire home/apt,10863,1,2,106,2
Don Mueang,13.91054,100.59034,Private room,2000,1,1,365,0
Khlong Toei,13.73723,100.55211,Private room,370,1,5,86,0
Phra Khanong,13.69863,100.60182,Entire home/apt,686,1,67,120,14
Phaya Thai,13.77696,100.54285,Entire home/apt,1173,1,64,227,16
Vadhana,13.74108,100.59044,Entire home/apt,2175,21,3,118,3
Bueng Kum,13.82435,100.62972,Entire home/apt,2136,1,1,90,1
Phra Nakhon,13.76253,100.50241,Private room,1665,1,0,362,0
Vadhana,13.74416,100.55685,Entire home/apt,7214,1,102,316,39
Vadhana,13.73924,100.59004,Entire home/apt,2100,21,0,144,0
Ratchathewi,13.75684,100.54244,Hotel room,1759,1,66,359,18
Khlong Toei,13.73469,100.55694,Entire home/apt,2057,1,29,361,2
Vadhana,13.74071,100.55939,Hotel room,2805,1,0,94,0
Bang Na,13.67718,100.60748,Private room,1000,30,0,69,0
Vadhana,13.73609,100.56713,Hotel room,2200,2,5,340,1
Phaya Thai,13.76477,100.5454,Entire home/apt,1558,1,1,360,0
Ratchathewi,13.75999,100.538,Private room,1780,1,0,362,0
Suanluang,13.71157,100.60594,Entire home/apt,1500,2,0,88,0
Ratchathewi,13.75603,100.53491,Entire home/apt,1600,2,83,140,15
Khlong Toei,13.70467,100.59178,Entire home/apt,786,30,5,330,1
Vadhana,13.73396,100.56734,Private room,3680,1,0,362,0
Taling Chan,13.77485,100.43516,Private room,1000,1,7,88,0
Taling Chan,13.77681,100.42611,Private room,2214,1,7,357,0
Pom Prap Sattru Phai,13.75111,100.51035,Private room,950,2,111,126,35
Pom Prap Sattru Phai,13.75111,100.51035,Private room,951,2,110,136,23
Khlong Toei,13.7184,100.58402,Shared room,2500,1,0,88,0
Bang Na,13.679,100.60989,Entire home/apt,1500,5,0,165,0
Phaya Thai,13.77608,100.54452,Entire home/apt,2999,3,63,90,0
Bangkok Noi,13.78044,100.47429,Private room,850,3,17,332,4
Ratchathewi,13.7499,100.56288,Entire home/apt,1500,90,1,91,0
Khlong Toei,13.72655,100.56587,Entire home/apt,2761,4,2,66,2
Khlong Toei,13.72603,100.56585,Hotel room,1771,1,21,315,6
Khlong Toei,13.72763,100.56182,Private room,1100,5,0,59,0
Bang Rak,13.72432,100.52234,Entire home/apt,2424,3,16,115,0
Bang Rak,13.72284,100.51641,Private room,558,2,108,311,29
Khlong San,13.71954,100.49558,Entire home/apt,1900,26,0,341,0
Phra Khanong,13.70562,100.60874,Entire home/apt,1331,21,23,180,7
Phaya Thai,13.78659,100.54549,Private room,1500,1,1,180,0
Ratchathewi,13.76144,100.53998,Entire home/apt,1095,4,33,172,7
Khlong San,13.72123,100.5039,Entire home/apt,1000,20,5,217,4
Khlong Toei,13.71484,100.59123,Private room,1857,1,18,334,1
Khlong Toei,13.70338,100.59243,Entire home/apt,786,30,6,355,1
Lak Si,13.8707,100.57983,Entire home/apt,3800,1,16,365,0
Ratchathewi,13.75853,100.54016,Private room,1600,1,20,161,0
Khlong Toei,13.73537,100.55789,Entire home/apt,1200,1,149,191,41
Huai Khwang,13.76044,100.56944,Entire home/apt,2239,3,81,127,7
Ratchathewi,13.75991,100.54051,Private room,900,1,32,144,3
Huai Khwang,13.75481,100.57301,Entire home/apt,4500,1,0,89,0
Ratchathewi,13.7583,100.5421,Private room,900,1,28,163,2
Bang Rak,13.72728,100.52077,Private room,475,1,5,358,0
Bang Sue,13.80332,100.53405,Private room,1039,28,0,90,0
Huai Khwang,13.78818,100.57435,Private room,751,1,14,360,0
Don Mueang,13.9265,100.58582,Private room,650,1,20,362,0
Vadhana,13.73934,100.57256,Entire home/apt,2039,4,53,142,14
Sathon,13.71515,100.53229,Private room,560,1,10,164,5
Ratchathewi,13.74896,100.55692,Entire home/apt,2279,1,2,175,0
Lat Krabang,13.7212,100.73416,Entire home/apt,1000,1,1,179,0
Yan na wa,13.71773,100.54903,Private room,800,2,0,364,0
Khlong Toei,13.73554,100.55694,Entire home/apt,1900,1,8,290,0
Phasi Charoen,13.71134,100.45016,Entire home/apt,750,1,5,180,1
Vadhana,13.71414,100.59408,Entire home/apt,1192,28,96,310,15
Khlong Toei,13.71627,100.57663,Entire home/apt,700,180,7,363,0
Khlong Toei,13.72349,100.56578,Entire home/apt,2200,1,12,83,8
Bang Khae,13.70556,100.37931,Private room,890,1,2,365,0
Bang Khae,13.70557,100.37931,Private room,990,1,2,355,2
Bangkok Noi,13.76538,100.47458,Private room,2271,1,16,363,2
Thon buri,13.71043,100.48091,Entire home/apt,350,14,6,132,0
Bangkok Noi,13.76599,100.47276,Private room,2271,1,9,365,0
Bang Sue,13.82576,100.53105,Entire home/apt,3500,1,1,88,0
Vadhana,13.74114,100.58951,Entire home/apt,1400,30,0,284,0
Huai Khwang,13.78083,100.57776,Hotel room,2500,2,0,180,0
Bangkok Noi,13.78455,100.46882,Private room,12397,1,1,181,0
Ratchathewi,13.75017,100.54221,Entire home/apt,3231,4,47,323,1
Chom Thong,13.71105,100.46393,Entire home/apt,1415,3,0,90,0
Taling Chan,13.77912,100.4552,Private room,2000,1,1,178,0
Phaya Thai,13.79468,100.54911,Private room,615,2,50,86,0
Ratchathewi,13.75955,100.54216,Private room,2200,1,5,154,1
Khlong Toei,13.71484,100.59117,Entire home/apt,2326,1,50,96,11
Huai Khwang,13.79341,100.57585,Entire home/apt,9739,1,44,73,11
Bang Khae,13.71373,100.4055,Entire home/apt,700,30,23,17,2
Khlong Toei,13.71197,100.5928,Entire home/apt,3218,30,0,19,0
Bang Rak,13.72675,100.5211,Private room,650,1,2,87,0
Phra Khanong,13.68586,100.60673,Private room,630,2,1,180,0
Ratchathewi,13.75859,100.54211,Hotel room,2089,1,9,359,0
Ratchathewi,13.75148,100.53455,Private room,790,1,5,351,4
Phra Khanong,13.6882,100.6078,Private room,537,5,25,150,10
Huai Khwang,13.76759,100.58638,Private room,2000,1,1,365,0
Khlong Toei,13.71805,100.57511,Private room,1280,90,9,363,0
Bang Kho laen,13.6942,100.49302,Entire home/apt,2942,2,87,213,29
Suanluang,13.74489,100.63294,Private room,814,1,1,365,0
Khlong Toei,13.72434,100.56657,Entire home/apt,1819,2,51,58,22
Taling Chan,13.78523,100.45962,Private room,450,30,0,180,0
Khlong Toei,13.73454,100.55691,Entire home/apt,2047,2,162,219,61
Dusit,13.78862,100.51511,Entire home/apt,4000,2,53,270,22
Bang Kapi,13.76456,100.65366,Private room,1200,1,1,181,0
Phra Nakhon,13.750158,100.498688,Entire home/apt,3393,2,72,220,33
Khlong Toei,13.73574,100.55875,Entire home/apt,1985,2,153,236,49
Huai Khwang,13.78052,100.57591,Hotel room,1449,2,0,365,0
Huai Khwang,13.78031,100.5779,Hotel room,1999,2,0,180,0
Huai Khwang,13.78243,100.57626,Hotel room,2599,2,0,86,0
Huai Khwang,13.78115,100.57809,Hotel room,2699,2,0,90,0
Huai Khwang,13.78222,100.57579,Hotel room,6199,2,1,180,0
Huai Khwang,13.78041,100.57758,Hotel room,2199,2,0,86,0
Huai Khwang,13.7826,100.57758,Hotel room,2100,2,0,180,0
Huai Khwang,13.78094,100.57581,Hotel room,2199,2,0,90,0
Huai Khwang,13.77034,100.58838,Private room,3117,1,1,359,0
Bangkok Noi,13.75547,100.47301,Private room,500,1,8,340,4
Khlong Toei,13.72301,100.56795,Hotel room,1771,1,50,78,19
Khlong Toei,13.72551,100.5662,Entire home/apt,1657,14,42,243,7
Huai Khwang,13.78786,100.58088,Private room,500,2,28,302,0
Vadhana,13.74729,100.55359,Entire home/apt,1313,4,11,133,9
Bangkok Noi,13.74868,100.46982,Private room,1150,1,0,180,0
Ratchathewi,13.7549,100.54355,Private room,2400,30,0,86,0
Phra Nakhon,13.76163,100.50335,Private room,460,1,0,303,0
Phra Nakhon,13.76349,100.50328,Private room,543,1,0,295,0
Phra Nakhon,13.76357,100.50456,Private room,500,1,0,290,0
Vadhana,13.73269,100.58181,Private room,999,1,1,304,0
Chatu Chak,13.84541,100.56369,Entire home/apt,850,2,8,174,0
Bangkok Yai,13.74552,100.48419,Entire home/apt,1421,1,143,230,55
Vadhana,13.74697,100.55356,Entire home/apt,1230,4,9,136,8
Sathon,13.71133,100.52068,Private room,495,1,0,179,0
Bang Kapi,13.78887,100.62807,Private room,1000,1,1,363,0
Ratchathewi,13.757447242736816,100.5431900024414,Private room,1899,1,29,344,10
Pom Prap Sattru Phai,13.75122,100.51044,Private room,1200,1,69,155,27
Phra Khanong,13.68654,100.60537,Entire home/apt,800,2,3,49,0
Khlong Toei,13.71486,100.59114,Entire home/apt,2726,1,39,162,6
Khlong Toei,13.71482,100.59116,Entire home/apt,2676,1,69,162,18
Sathon,13.72167,100.55152,Private room,590,2,31,81,3
Huai Khwang,13.74787,100.57765,Entire home/apt,1500,1,2,365,1
Chatu Chak,13.8068,100.55637,Entire home/apt,627,25,2,251,1
Huai Khwang,13.74869,100.56949,Private room,4000,1,0,206,0
Bueng Kum,13.81725,100.64068,Private room,4500,30,0,363,0
Ratchathewi,13.76165,100.54266,Entire home/apt,900,28,8,88,3
Khlong Toei,13.72599,100.56583,Entire home/apt,1500,90,0,127,0
Saphan Sung,13.75685,100.66982,Entire home/apt,5000,5,1,124,1
Sathon,13.71039,100.51781,Entire home/apt,750,90,1,365,0
Bang Na,13.67651,100.61161,Entire home/apt,3429,30,1,54,0
Ratchathewi,13.75929,100.54062,Entire home/apt,1024,4,38,264,13
Chatu Chak,13.795981,100.55825,Entire home/apt,676,30,13,309,1
Vadhana,13.73869,100.56142,Entire home/apt,3353,1,40,19,3
Vadhana,13.72667,100.60285,Entire home/apt,950,1,63,346,6
Suanluang,13.73318,100.63957,Private room,1718,2,2,364,0
Phra Nakhon,13.75444,100.49829,Hotel room,2246,1,12,330,0
Khlong San,13.7208,100.49316,Private room,750,20,10,137,4
Don Mueang,13.91734,100.57665,Hotel room,965,1,1,364,0
Bang Na,13.65738,100.63408,Entire home/apt,900,2,21,360,3
Khlong Toei,13.71475,100.59113,Hotel room,1857,1,36,129,7
Ratchathewi,13.75031,100.55457,Entire home/apt,2089,30,103,173,2
Suanluang,13.70589,100.60691,Entire home/apt,1370,30,18,179,4
Huai Khwang,13.78198,100.57599,Hotel room,1199,2,3,365,0
Huai Khwang,13.78097,100.57602,Hotel room,1499,2,2,180,0
Huai Khwang,13.78211,100.57802,Hotel room,1499,2,4,180,0
Huai Khwang,13.75051,100.5652,Entire home/apt,750,180,0,364,0
Vadhana,13.71209,100.60089,Entire home/apt,790,28,6,298,0
Saphan Sung,13.74671,100.67377,Entire home/apt,4286,2,1,358,0
Khlong San,13.71927,100.49436,Entire home/apt,1300,29,25,330,2
Bang Kapi,13.75116,100.60696,Private room,700,20,0,364,0
Sathon,13.70662,100.5181,Entire home/apt,2371,2,22,109,11
Yan na wa,13.67546,100.5329,Private room,1500,3,0,90,0
Vadhana,13.7315,100.58515,Entire home/apt,5341,2,27,350,4
Ratchathewi,13.75843,100.54108,Private room,1400,1,0,180,0
Lak Si,13.87976,100.58612,Entire home/apt,650,30,37,144,7
Phra Khanong,13.68431,100.60662,Private room,700,2,0,365,0
Phra Nakhon,13.74922,100.49687,Hotel room,380,1,18,352,0
Sathon,13.71964,100.53253,Entire home/apt,2283,7,0,130,0
Huai Khwang,13.75147,100.58289,Entire home/apt,1490,3,0,365,0
Bang Rak,13.722115,100.522041,Private room,950,1,0,2,0
Suanluang,13.734569168761045,100.64681075513364,Private room,800,1,0,365,0
Ratchathewi,13.75087,100.55597,Entire home/apt,1466,3,86,356,14
Ratchathewi,13.757822036743164,100.54309844970705,Private room,1599,1,3,358,0
Vadhana,13.72425,100.57924,Entire home/apt,2800,1,0,178,0
Vadhana,13.73841,100.56137,Entire home/apt,3629,1,5,44,1
Vadhana,13.73016,100.57817,Entire home/apt,1500,90,0,364,0
Khlong Toei,13.71828,100.58641,Entire home/apt,1250,90,0,363,0
Sathon,13.72206,100.55125,Private room,650,1,7,174,0
Khlong Toei,13.73731,100.5545,Entire home/apt,1900,1,4,346,2
Khlong Toei,13.73527,100.55911,Entire home/apt,1900,1,2,346,1
Phaya Thai,13.79324,100.54948,Entire home/apt,7500,28,22,365,0
Khlong Toei,13.73518,100.55887,Entire home/apt,1900,1,6,290,2
Khlong Toei,13.73699,100.55844,Entire home/apt,1800,1,25,329,16
Huai Khwang,13.7802,100.57909,Private room,3000,30,0,179,0
Chatu Chak,13.80145,100.5705,Private room,959,1,53,325,14
Don Mueang,13.91884,100.57994,Hotel room,965,1,4,365,0
Din Daeng,13.76904,100.56908,Entire home/apt,800,3,2,345,2
Parthum Wan,13.74125,100.54091,Entire home/apt,1450,21,56,169,6
Lat Krabang,13.72198,100.76569,Hotel room,978,1,81,321,8
Khlong Toei,13.71481,100.59119,Entire home/apt,2379,1,42,163,5
Suanluang,13.72886,100.62806,Entire home/apt,2400,30,0,358,0
Suanluang,13.73556,100.62132,Shared room,6926,1,0,365,0
Parthum Wan,13.74418,100.53364,Entire home/apt,1900,1,80,54,3
Khlong Toei,13.70317,100.59184,Entire home/apt,809,30,9,82,0
Khlong Toei,13.70512,100.59485,Entire home/apt,875,28,15,22,2
Khlong Toei,13.70299,100.59299,Entire home/apt,1000,30,8,82,1
Khlong Toei,13.70381,100.5937,Entire home/apt,750,26,8,44,0
Khlong Toei,13.72591,100.5648,Entire home/apt,2073,1,53,234,13
Ratchathewi,13.75872802734375,100.5439682006836,Private room,1599,1,4,358,0
Huai Khwang,13.78237,100.57627,Private room,488,2,2,365,0
Khlong Toei,13.72569,100.56625,Entire home/apt,1736,1,58,131,27
Huai Khwang,13.7824,100.57653,Private room,600,1,1,364,0
Khlong Toei,13.72552,100.56709,Entire home/apt,1489,10,36,217,8
Khlong Toei,13.73538,100.55718,Entire home/apt,2000,1,6,350,5
Khlong Toei,13.73565,100.55666,Entire home/apt,2000,1,18,351,3
Khlong Toei,13.73567,100.55706,Entire home/apt,4200,1,6,351,1
Phasi Charoen,13.72599,100.46589,Private room,828,1,0,90,0
Phaya Thai,13.7657,100.54408,Entire home/apt,3048,1,3,360,0
Vadhana,13.73888,100.56144,Entire home/apt,3076,1,17,53,14
Ratchathewi,13.75872802734375,100.5439682006836,Private room,1565,1,56,335,29
Vadhana,13.72313,100.58222,Entire home/apt,900,28,7,340,1
Khlong Toei,13.72549,100.5656,Entire home/apt,3900,2,97,291,34
Bang Rak,13.72335,100.52663,Entire home/apt,1486,6,54,303,14
Khlong Toei,13.7255,100.56559,Entire home/apt,2100,2,90,308,30
Vadhana,13.73909,100.59014,Entire home/apt,920,28,17,167,3
Khlong Toei,13.72474,100.56813,Entire home/apt,10000,7,9,92,8
Vadhana,13.73865,100.56786,Entire home/apt,1700,13,3,256,2
Thawi Watthana,13.77187,100.38748,Private room,5818,1,0,365,0
Suanluang,13.73756,100.6444,Entire home/apt,1800,1,0,363,0
Lat Krabang,13.70943,100.82424,Private room,600,1,0,88,0
Khlong San,13.71883,100.49342,Entire home/apt,750,20,11,123,6
Khlong Toei,13.70498,100.59397,Entire home/apt,1200,3,1,325,0
Vadhana,13.73889,100.56161,Entire home/apt,1300,30,31,221,12
Khlong Toei,13.73596,100.55904,Entire home/apt,3900,1,21,351,4
Khlong Toei,13.73677,100.55889,Entire home/apt,2450,1,18,279,2
Thon buri,13.70707,100.49601,Entire home/apt,1750,3,3,353,2
Bang Phlat,13.80068,100.50856,Entire home/apt,537,60,10,264,2
Min Buri,13.83089,100.71676,Entire home/apt,2800,1,0,179,0
Khlong Toei,13.72491,100.57103,Private room,2500,1,1,365,0
Ratchathewi,13.75183,100.53538,Private room,1190,1,3,356,1
Sathon,13.71511,100.51327,Entire home/apt,700,1,1,357,1
Huai Khwang,13.75423,100.57587,Entire home/apt,850,30,0,28,0
Khlong Toei,13.71371,100.59113,Entire home/apt,1800,2,17,65,0
Huai Khwang,13.75544,100.57453,Entire home/apt,1171,2,26,83,5
Din Daeng,13.78267,100.56629,Private room,850,1,0,180,0
Vadhana,13.73563,100.58256,Private room,2500,1,1,364,1
Khan Na Yao,13.82001,100.68189,Entire home/apt,700,30,10,338,6
Khan Na Yao,13.81976,100.68065,Entire home/apt,850,30,1,363,0
Vadhana,13.7388,100.59008,Entire home/apt,1450,21,0,148,0
Vadhana,13.73511,100.60304,Private room,1000,1,0,365,0
Bangkok Noi,13.76246,100.48785,Entire home/apt,8500,1,0,362,0
Parthum Wan,13.72349,100.55127,Private room,630,1,50,83,3
Phra Nakhon,13.76088,100.49946,Private room,1785,1,3,365,1
Bang Kho laen,13.7032,100.50489,Entire home/apt,2490,2,1,361,0
